section,feature,python,rust,rust_mlx,notes,deprecated
Hardware Platforms,CPU inference,yes,no,,Removed with CandleWorker; requires CUDA or Metal,wontfix
Hardware Platforms,NVIDIA CUDA,yes,yes,,CudaWorker verified on L40S (SM89),
Hardware Platforms,Apple Metal (MLX),no,yes,,Rust-only; `--features metal` via mlx-rs,
Hardware Platforms,WebGPU (wgpu),no,yes,,Rust-only; `--features wgpu` via wgpu-rs (Metal/Vulkan/DX12); ~51 tok/s Qwen2.5-0.5B on M1 Max,
Hardware Platforms,AMD ROCm / HIP,yes,no,,,
Hardware Platforms,Google TPU,yes,no,,,
Hardware Platforms,Intel XPU (Arc / Data Center),yes,no,,,
Hardware Platforms,AWS Neuron / Inferentia,yes,no,,Via plugin,
Hardware Platforms,Intel OpenVINO,yes,no,,Via plugin,
Hardware Platforms,Habana Gaudi (HPU),yes,no,,Via plugin,
Hardware Platforms,Device auto-detection,yes,yes,,Rust: Metal > CUDA > wgpu (no CPU fallback),
Multi-GPU & Distribution,Tensor parallelism (TP) — single-node,yes,yes,,CudaWorker: NCCL all-reduce via ThreadPoolExecutor; all dense + MoE archs wired; E2E verified TP=2 Qwen2.5-0.5B + Gemma3-4B on 2x L40S,
Multi-GPU & Distribution,Tensor parallelism (TP) — multi-node,yes,yes,,TCP control plane + NCCL data plane (mp backend); E2E verified TP=2 Qwen2.5-3B-Instruct across 2x L40S pods,
Multi-GPU & Distribution,Pipeline parallelism (PP),yes,partial,,LLaMA/Qwen2 PP=2 E2E verified (sync scheduling). TODO: async scheduling token broadcast; CUDA graphs with PP (currently enforce-eager only); PP for Gemma2/Gemma3/CommandR/Mixtral/Qwen2Moe/Qwen3Moe/Qwen3Next/DeepSeekV2 models; TP+PP combined (load_tp_pp exists for LLaMA/Qwen2 but untested); memory profiling uses fixed 512MB estimate instead of real profiling; PP E2E test automation; GGUF/quantized PP,
Multi-GPU & Distribution,Data parallelism (DP),yes,no,,,
Multi-GPU & Distribution,Expert parallelism (EP) for MoE,yes,no,,Needed for MoE models where experts are split across GPUs,
Multi-GPU & Distribution,NCCL custom all-reduce,yes,no,,,
Multi-GPU & Distribution,Prefill context parallelism,yes,no,,,
Multi-GPU & Distribution,Decode context parallelism,yes,no,,,
Multi-GPU & Distribution,Dual batch overlap (DBO),yes,no,,,
CLI Commands,`serve` — start HTTP server,yes,yes,,,
CLI Commands,`chat` — interactive REPL,yes,yes,,Rust superset: in-process + remote mode; --bench --prompt,
CLI Commands,`complete` — interactive REPL,yes,yes,,Remote mode (connects to running server),
CLI Commands,`bench latency`,yes,yes,,,
CLI Commands,`bench throughput`,yes,yes,,Offline batch throughput (requests/s and tokens/s),
CLI Commands,`bench serve`,yes,yes,,Online serving benchmark (TTFT/TPOT/ITL/E2EL via HTTP),
CLI Commands,`bench startup`,yes,yes,,Cold/warm startup time measurement,
CLI Commands,`bench sweep`,yes,yes,,serve + startup subcommands; plot subcommands omitted (Python-only matplotlib),
CLI Commands,Offline batch inference (CLI),yes,yes,,Python: `run-batch`; Rust: `batch` + `run-batch` alias,
CLI Commands,`collect-env`,yes,yes,,Rust-tailored: reports rustc/cargo/features instead of PyTorch/pip,
CLI Commands,`top` — live TUI dashboard,no,yes,,Rust-only; ratatui-based,
OpenAI-Compatible API Endpoints,`POST /v1/chat/completions`,yes,yes,,Streaming + non-streaming,
OpenAI-Compatible API Endpoints,`POST /v1/completions`,yes,yes,,Streaming + non-streaming,
OpenAI-Compatible API Endpoints,`POST /v1/embeddings`,yes,yes,,,
OpenAI-Compatible API Endpoints,`GET /v1/models`,yes,yes,,,
OpenAI-Compatible API Endpoints,`POST /v1/score` (cross-encoder),yes,no,,,
OpenAI-Compatible API Endpoints,`POST /v1/rerank`,yes,no,,,
OpenAI-Compatible API Endpoints,`POST /classify`,yes,no,,,
OpenAI-Compatible API Endpoints,`GET /health`,yes,yes,,,
OpenAI-Compatible API Endpoints,`GET /version`,yes,yes,,,
OpenAI-Compatible API Endpoints,`GET /metrics` (Prometheus),yes,yes,,,
OpenAI-Compatible API Endpoints,`POST /tokenize`,yes,yes,,Prompt mode; chat mode with chat-template feature,
OpenAI-Compatible API Endpoints,`POST /detokenize`,yes,yes,,,
OpenAI-Compatible API Endpoints,`POST /v1/chat/completions/render`,yes,yes,,Renders chat template and returns prompt text + token IDs,
Other API Protocols,OpenAI Responses API (`/v1/responses`),yes,yes,,Streaming + non-streaming; translates to internal chat completion,
Other API Protocols,Anthropic Messages API (`/v1/messages`),yes,yes,,Streaming + non-streaming; translates to internal chat completion,
Other API Protocols,gRPC server,yes,no,,,
Other API Protocols,SageMaker (`/ping` / `/invocations`),yes,no,,,
Other API Protocols,WebSocket realtime (`/v1/realtime`),yes,no,,,
Other API Protocols,Audio transcription (`/v1/audio/transcriptions`),yes,no,,,
Other API Protocols,MCP (Model Context Protocol) server,yes,no,,,
Other API Protocols,Offline Rust `LLM` API (no HTTP),na,yes,,Rust-only `LLM::generate()`/`.chat()`/`.chat_stream()`,
Other API Protocols,JSON stats (`/stats` / `/stats/live` SSE),no,yes,,Rust-only live stats stream,
Other API Protocols,ORCA load-reporting headers,no,yes,,Rust-only,
Model Architectures — Decoder-Only LLMs,LLaMA / LLaMA 2 / LLaMA 3,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Mistral,yes,yes,yes,LLaMA alias in CudaWorker,
Model Architectures — Decoder-Only LLMs,Qwen2 / Qwen2.5,yes,yes,yes,,
