section,feature,python,rust,rust_mlx,notes,deprecated
Hardware Platforms,CPU inference,yes,yes,,Rust uses candle; Python uses PyTorch CPU,
Hardware Platforms,NVIDIA CUDA,yes,yes,,Rust verified on L40S (SM89),
Hardware Platforms,Apple Metal (MLX),no,yes,,Rust-only; `--features metal` via mlx-rs,
Hardware Platforms,AMD ROCm / HIP,yes,no,,,
Hardware Platforms,Google TPU,yes,no,,,
Hardware Platforms,Intel XPU (Arc / Data Center),yes,no,,,
Hardware Platforms,AWS Neuron / Inferentia,yes,no,,Via plugin,
Hardware Platforms,Intel OpenVINO,yes,no,,Via plugin,
Hardware Platforms,Habana Gaudi (HPU),yes,no,,Via plugin,
Hardware Platforms,Device auto-detection,yes,yes,,Rust: Metal > CUDA > CPU,
Multi-GPU & Distribution,Tensor parallelism (TP),yes,yes,,Rust: NCCL all-reduce wired via ThreadPoolExecutor; verified Qwen2.5-14B TP=2 on 2x L40S,
Multi-GPU & Distribution,Pipeline parallelism (PP),yes,no,,,
Multi-GPU & Distribution,Data parallelism (DP),yes,no,,,
Multi-GPU & Distribution,Expert parallelism (EP) for MoE,yes,no,,,
Multi-GPU & Distribution,Multi-node distributed inference,yes,partial,,Rust: TCP rendezvous + NCCL ID distribution; needs control channel for headless nodes,
Multi-GPU & Distribution,NCCL custom all-reduce,yes,no,,,
Multi-GPU & Distribution,Prefill context parallelism,yes,no,,,
Multi-GPU & Distribution,Decode context parallelism,yes,no,,,
Multi-GPU & Distribution,Dual batch overlap (DBO),yes,no,,,
CLI Commands,`serve` — start HTTP server,yes,yes,,,
CLI Commands,`chat` — interactive REPL,yes,no,,Python connects to running server,
CLI Commands,`complete` — interactive REPL,yes,no,,,
CLI Commands,`bench latency`,yes,yes,,,
CLI Commands,`bench throughput`,yes,no,,Rust: stub only,
CLI Commands,`bench serve`,yes,no,,Rust: stub only,
CLI Commands,`bench startup`,yes,no,,,
CLI Commands,`bench sweep`,yes,no,,,
CLI Commands,Offline batch inference (CLI),yes,yes,,Python: `run-batch`; Rust: `batch`,
CLI Commands,`collect-env`,yes,no,,,
CLI Commands,`convert` model weights,no,partial,,Rust: argument parsing only (stub),
CLI Commands,`top` — live TUI dashboard,no,yes,,Rust-only; ratatui-based,
OpenAI-Compatible API Endpoints,`POST /v1/chat/completions`,yes,yes,,Streaming + non-streaming,
OpenAI-Compatible API Endpoints,`POST /v1/completions`,yes,yes,,Streaming + non-streaming,
OpenAI-Compatible API Endpoints,`POST /v1/embeddings`,yes,yes,,,
OpenAI-Compatible API Endpoints,`GET /v1/models`,yes,yes,,,
OpenAI-Compatible API Endpoints,`POST /v1/score` (cross-encoder),yes,no,,,
OpenAI-Compatible API Endpoints,`POST /v1/rerank`,yes,no,,,
OpenAI-Compatible API Endpoints,`POST /classify`,yes,no,,,
OpenAI-Compatible API Endpoints,`GET /health`,yes,yes,,,
OpenAI-Compatible API Endpoints,`GET /version`,yes,yes,,,
OpenAI-Compatible API Endpoints,`GET /metrics` (Prometheus),yes,yes,,,
OpenAI-Compatible API Endpoints,`POST /tokenize`,yes,no,,,
OpenAI-Compatible API Endpoints,`POST /detokenize`,yes,no,,,
OpenAI-Compatible API Endpoints,`POST /v1/chat/completions/render`,yes,no,,Render chat to string without generating,
Other API Protocols,OpenAI Responses API (`/v1/responses`),yes,no,,,
Other API Protocols,Anthropic Messages API (`/v1/messages`),yes,no,,,
Other API Protocols,gRPC server,yes,no,,,
Other API Protocols,SageMaker (`/ping` / `/invocations`),yes,no,,,
Other API Protocols,WebSocket realtime (`/v1/realtime`),yes,no,,,
Other API Protocols,Audio transcription (`/v1/audio/transcriptions`),yes,no,,,
Other API Protocols,MCP (Model Context Protocol) server,yes,no,,,
Other API Protocols,Offline Rust `LLM` API (no HTTP),na,yes,,Rust-only `LLM::generate()/.chat()`,
